file,species
00001.jpg,Park
00002.jpg,U-Turn Allowed
00003.jpg,Compulsory Keep BothSide
00004.jpg,One way Traffic
00005.jpg,Left Margin
00006.jpg,Left Margin
00007.jpg,One way Traffic
00008.jpg,Maximum Speed 80
00009.jpg,Cycle crossing
00010.jpg,Left Margin
00011.jpg,Right Turn Prohibited
00012.jpg,Pedestrian crossing
00013.JPG,One way Traffic
00014.JPG,One way Traffic
00015.JPG,Compulsory Keep BothSide
00016.JPG,Compulsory Keep BothSide
00017.JPG,Left Bend
00018.JPG,Left Bend
00019.JPG,Left Bend
00020.JPG,Side Road Right
00021.JPG,Side Road Right
00022.JPG,Side Road Right
00023.JPG,Side Road Right
00024.JPG,Right Turn Prohibited
00025.JPG,Maximum Speed 90
00026.JPG,NO Waiting
00027.JPG,Right Bend
00028.JPG,Right Bend
00029.JPG,Left Turn Prohibited
00030.JPG,Left Turn Prohibited
00031.JPG,Left Turn Prohibited
00032.JPG,Left Turn Prohibited
00033.JPG,Right Bend
00034.JPG,Road Work
00035.JPG,Road Work
00036.JPG,Road Work
00037.JPG,Road Work
00038.jpg,Right Margin
00039.jpg,Right Margin
00040.jpg,Right Margin
00041.jpg,Right Margin
00042.jpg,Left Margin
00043.jpg,Left Margin
00044.jpg,Compulsory Keep BothSide
00045.jpg,Compulsory Keep BothSide
00046.jpg,Compulsory Keep BothSide
00047.jpg,Pedestrain
00048.jpg,Pedestrain
00049.jpg,Pedestrain
00050.jpg,Pedestrain
00051.jpg,School
00052.jpg,School
00053.jpg,Pedestrain
00054.jpg,Pedestrain
00055.jpg,Pedestrain
00056.jpg,Pedestrain
00057.jpg,Pedestrain
00058.jpg,Compulsory Keep BothSide
00059.jpg,U-turn Prohibited
00060.jpg,Speed Camera
00061.jpg,Compulsory Keep BothSide
00062.jpg,Compulsory Keep BothSide
00063.jpg,Two Way Traffic
00064.jpg,Right Bend
00065.jpg,Right Bend
00066.jpg,Right Bend
00067.jpg,NO Waiting
00068.jpg,Right Bend
00069.jpg,Danger
00070.jpg,Left Bend
00071.jpg,Left Bend
00072.jpg,Left Bend
00073.jpg,NO Waiting
00074.jpg,Park
00075.jpg,Park
00076.jpg,Danger
00077.jpg,Left Bend
00078.jpg,Park
00079.jpg,Pedestrain
00080.jpg,Right Turn Prohibited
00081.jpg,Right Turn Prohibited
00082.jpg,Right Turn Prohibited
00083.jpg,Left Turn Prohibited
00084.jpg,Pedestrain
00085.jpg,Right Turn Prohibited
00086.jpg,Right Turn Prohibited
00087.jpg,Right Turn Prohibited
00088.jpg,Right Turn Prohibited
00089.jpg,Right Turn Prohibited
00090.jpg,Left Turn Prohibited
00091.jpg,Left Turn Prohibited
00092.jpg,Left Turn Prohibited
00093.jpg,Right Turn Prohibited
00094.jpg,Maximum Speed 60
00095.jpg,Park
00096.jpg,Pedestrain
00097.jpg,Danger
00098.jpg,Left Turn Prohibited
00099.jpg,One way Traffic
00100.jpg,Compulsory Keep BothSide
00101.jpg,Left Turn Prohibited
00102.jpg,One way Traffic
00103.jpg,Pedestrain
00104.jpg,U-Turn Allowed
00105.jpg,U-Turn Allowed
00106.jpg,U-turn Prohibited
00107.jpg,Left Turn Prohibited
00108.jpg,Road Work
00109.jpg,Pedestrain
00110.jpg,Side Road Right
00111.jpg,Side Road Right
00112.jpg,Side Road Right
00113.jpg,U-turn Prohibited
00114.jpg,Danger
00115.jpg,Side Road Right
00116.jpg,Side Road Right
00117.jpg,Side Road Right
00118.jpg,Maximum Speed 90
00119.jpg,Compulsory Keep BothSide
00120.jpg,U-Turn Allowed
00121.jpg,U-Turn Allowed
00122.jpg,U-turn Prohibited
00123.jpg,Danger
00124.jpg,U-turn Prohibited
00125.jpg,U-Turn
